	Date	Name	Text	Compound	Positive	Negative	Neutral	Tweets Ago
199	Fri Jun 08 13:58:15 +0000 2018	@CBS	We all get by with a little help from our friends, so what better way to celebrate #NationalBestFriendsDay than to… https://t.co/pIZezbBwaT	0.9078	0.436	0.564	0.0	200
198	Fri Jun 08 15:00:03 +0000 2018	@CBS	Here's @laChanze with a reminder that you can stream the #TonyAwards this Sunday on CBS All Access! https://t.co/8TDEXzKmyQ	0.0	0.0	1.0	0.0	199
197	Fri Jun 08 19:46:17 +0000 2018	@CBS	Join @etnow's @DDirecto this Sunday on the #TonyAwards' red carpet. https://t.co/7jS8g10KmY	0.296	0.18	0.82	0.0	198
110	Fri Jun 15 18:48:29 +0000 2018	@CBS	Casting Alert! @paulwesley, @DaniaJRamirez &amp; @JamesWolk are set to star in the upcoming CBS All Access psychologica… https://t.co/JnZMrzT92n	0.3595	0.128	0.872	0.0	111
130	Fri Jun 15 18:48:29 +0000 2018	@CBS	Casting Alert! @paulwesley, @DaniaJRamirez &amp; @JamesWolk are set to star in the upcoming CBS All Access psychologica… https://t.co/JnZMrzT92n	0.3595	0.128	0.872	0.0	131
124	Fri Jun 22 18:33:53 +0000 2018	@CBS	Every day is #TakeYourDogToWorkDay for shows like @HawaiiFive0CBS, @MomCBS, @SEALTeamCBS, and @bigbangtheory! https://t.co/DJaOt1VQcw	0.4199	0.189	0.811	0.0	125
104	Fri Jun 22 18:33:53 +0000 2018	@CBS	Every day is #TakeYourDogToWorkDay for shows like @HawaiiFive0CBS, @MomCBS, @SEALTeamCBS, and @bigbangtheory! https://t.co/DJaOt1VQcw	0.4199	0.189	0.811	0.0	105
123	Fri Jun 22 21:19:06 +0000 2018	@CBS	Tonight's the night! Don't miss model @ashleygraham on the season finale of Celebrity @undercover_cbs at 8/7c. https://t.co/iBxAOcOF7a	0.1867	0.098	0.902	0.0	124
103	Fri Jun 22 21:19:06 +0000 2018	@CBS	Tonight's the night! Don't miss model @ashleygraham on the season finale of Celebrity @undercover_cbs at 8/7c. https://t.co/iBxAOcOF7a	0.1867	0.098	0.902	0.0	104
47	Fri Jun 29 07:00:12 +0000 2018	@BBC	🐛😂 Have you ever tried worm charming? https://t.co/S8BPzCmE8N	0.5859	0.352	0.648	0.0	48
46	Fri Jun 29 07:29:06 +0000 2018	@BBC	New research shows that our views, even on politics, are changing all the time... just not for the reasons you’d ex… https://t.co/iMz9pEItxv	0.0	0.0	1.0	0.0	47
45	Fri Jun 29 08:00:12 +0000 2018	@BBC	♻️💵🇬🇭 Turning plastic trash into cash in Ghana. https://t.co/v3CTho7nnD	0.0	0.0	1.0	0.0	46
44	Fri Jun 29 09:56:50 +0000 2018	@BBC	RT @bbcthree: Endometriosis feels like being punched in the vagina with sharp knives. #HearHer https://t.co/pOuZyJObic	0.3612	0.152	0.848	0.0	45
43	Fri Jun 29 11:03:07 +0000 2018	@BBC	"⚡️ How it feels to be hit by lightning + other one in a million chances.
👉 https://t.co/KXzFEzk1rI https://t.co/ZTWl0ZOE0m"	0.2023	0.107	0.893	0.0	44
42	Fri Jun 29 12:00:19 +0000 2018	@BBC	"🤔 How many mysterious body parts can you identify from these hyper zoomed in photos?
#JuniorDoctors https://t.co/miuPM0KycI"	0.0	0.0	1.0	0.0	43
41	Fri Jun 29 12:51:35 +0000 2018	@BBC	RT @bbcarts: Meet the six new musicians from around the globe who have been selected to join @BBCRadio3's prestigious New Generation Artist…	0.296	0.095	0.905	0.0	42
